Data from https://doi.org/10.1002/adma.202008076
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
392.3	1401.57
392.4	1401.78
392.5	1402
392.6	1402.21
392.7	1402.42
392.8	1402.63
392.9	1402.84
393	1403.06
393.1	1403.27
393.2	1403.48
393.3	1403.69
393.4	1403.9
393.5	1404.12
393.6	1404.33
393.7	1404.54
393.8	1404.75
393.9	1404.96
394	1405.18
394.1	1405.39
394.2	1405.6
394.3	1405.81
394.4	1406.02
394.5	1406.24
394.6	1406.45
394.7	1406.66
394.8	1406.87
394.9	1407.08
395	1407.3
395.1	1407.51
395.2	1407.72
395.3	1407.93
395.4	1408.14
395.5	1408.36
395.6	1408.57
395.7	1408.78
395.8	1408.99
395.9	1409.2
396	1409.42
396.1	1409.63
396.2	1409.84
396.3	1410.05
396.4	1410.26
396.5	1410.48
396.6	1410.69
396.7	1410.9
396.8	1411.11
396.9	1411.32
397	1411.54
397.1	1411.75
397.2	1411.96
397.3	1412.17
397.4	1412.38
397.5	1412.6
397.6	1412.81
397.7	1413.02
397.8	1413.23
397.9	1413.44
398	1413.66
398.1	1413.87
398.2	1414.08
398.3	1414.29
398.4	1414.5
398.5	1414.72
398.6	1414.93
398.7	1415.14
398.8	1415.35
398.9	1415.56
399	1415.78
399.1	1415.99
399.2	1416.2
399.3	1416.41
399.4	1416.62
399.5	1416.84
399.6	1417.05
399.7	1417.26
399.8	1417.47
399.9	1417.68
400	1417.9
400.1	1418.11
400.2	1418.32
400.3	1418.53
400.4	1418.74
400.5	1418.96
400.6	1419.17
400.7	1419.38
400.8	1419.59
400.9	1419.8
401	1420.02
401.1	1420.23
401.2	1420.44
401.3	1420.65
401.4	1420.86
401.5	1421.08
401.6	1421.29
401.7	1421.5
401.8	1421.71
401.9	1421.92
402	1422.14
402.1	1422.35
402.2	1422.56
402.3	1422.77
402.4	1422.98
402.5	1423.2
402.6	1423.41
402.7	1423.62
402.8	1423.83
402.9	1424.04
403	1424.26
403.1	1424.47
403.2	1424.68
403.3	1424.89
403.4	1425.1
403.5	1425.32
403.6	1425.53
403.7	1425.74
403.8	1425.95
403.9	1426.16
404	1426.38
404.1	1426.59
404.2	1426.8
404.3	1427.01
404.4	1427.22
404.5	1427.44
404.6	1427.65
404.7	1427.86
404.8	1428.07
404.9	1428.28
405	1428.5
405.1	1428.71
405.2	1428.92
405.3	1429.13
405.4	1429.34
405.5	1429.56
405.6	1429.77
405.7	1429.98
405.8	1430.19
405.9	1430.4
406	1430.62
