Data from https://doi.org/10.1038/s41467-019-09730-9
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
344.71	2564.54
344.69	2564.45
344.67	2564.36
344.66	2564.2
344.64	2564
344.62	2563.79
344.61	2563.67
344.59	2563.56
344.58	2563.47
344.56	2563.39
344.54	2563.32
344.53	2563.25
344.51	2563.18
344.49	2563.12
344.48	2563.09
344.46	2563.05
344.44	2563
344.43	2562.96
344.41	2562.92
344.39	2562.86
344.37	2562.81
344.36	2562.73
344.34	2562.62
344.33	2562.5
344.31	2562.38
344.29	2562.29
344.28	2562.22
344.26	2562.18
344.24	2562.13
344.23	2562.07
344.21	2562.04
344.19	2562.03
344.18	2562
344.16	2561.96
344.14	2561.92
344.13	2561.85
344.11	2561.76
344.09	2561.69
344.08	2561.61
344.06	2561.52
344.04	2561.41
344.03	2561.3
344.01	2561.19
343.99	2561.1
343.98	2561.02
343.96	2560.96
343.94	2560.92
343.93	2560.85
343.91	2560.77
343.9	2560.71
343.88	2560.67
343.86	2560.62
343.84	2560.56
343.83	2560.49
343.81	2560.4
343.79	2560.3
343.78	2560.21
343.76	2560.14
343.74	2560.04
343.73	2559.95
343.71	2559.87
343.69	2559.81
343.68	2559.75
343.66	2559.71
343.64	2559.67
343.63	2559.63
343.61	2559.56
343.59	2559.48
343.58	2559.41
343.56	2559.33
343.54	2559.23
343.53	2559.14
343.51	2559.05
343.49	2558.95
343.48	2558.86
343.46	2558.81
343.44	2558.74
343.43	2558.69
343.41	2558.63
343.4	2558.56
343.38	2558.48
343.36	2558.39
343.34	2558.3
343.33	2558.21
343.31	2558.13
343.29	2558.07
343.28	2558.13
343.26	2558.1
343.25	2558.09
343.23	2558.06
343.21	2558.03
343.19	2557.95
343.18	2557.87
343.16	2557.75
343.15	2557.52
343.13	2557.33
343.11	2557.2
343.1	2557.11
343.08	2557.01
343.06	2556.91
343.05	2556.82
343.03	2556.75
343.01	2556.71
343	2556.66
342.98	2556.61
342.96	2556.57
342.95	2556.53
342.93	2556.51
342.91	2556.5
342.9	2556.46
