Data from https://doi.org/10.1039/D0TA05399F
Upon heating
Temperature(K)	Heat capacity(J/kg/K)
161.97	290.61
161.98	290.64
161.99	290.68
162	290.72
162.01	290.76
162.02	290.79
162.03	290.83
162.04	290.87
162.05	290.91
162.06	290.94
162.07	290.98
162.08	291.02
162.09	291.06
162.1	291.09
162.11	291.13
162.12	291.17
162.13	291.21
162.14	291.24
162.15	291.28
162.16	291.32
162.17	291.35
162.18	291.39
162.19	291.43
162.2	291.47
162.21	291.5
162.22	291.54
162.23	291.58
162.24	291.62
162.25	291.65
162.26	291.69
162.27	291.73
162.28	291.77
162.29	291.8
162.3	291.84
162.31	291.88
162.32	291.92
162.33	291.95
162.34	291.99
162.35	292.03
162.36	292.07
162.37	292.1
162.38	292.14
162.39	292.18
162.4	292.22
162.41	292.25
162.42	292.29
162.43	292.33
162.44	292.36
162.45	292.4
162.46	292.44
162.47	292.48
162.48	292.51
162.49	292.55
162.5	292.59
162.51	292.63
162.52	292.66
162.53	292.7
162.54	292.74
162.55	292.78
162.56	292.81
162.57	292.85
162.58	292.89
162.59	292.93
162.6	292.96
162.61	293
162.62	293.04
162.63	293.08
162.64	293.11
162.65	293.15
162.66	293.19
162.67	293.22
162.68	293.26
162.69	293.3
162.7	293.34
162.71	293.37
162.72	293.41
162.73	293.45
162.74	293.49
162.75	293.52
162.76	293.56
162.77	293.6
162.78	293.64
162.79	293.67
162.8	293.71
162.81	293.75
162.82	293.79
162.83	293.82
162.84	293.86
162.85	293.9
162.86	293.94
162.87	293.97
162.88	294.01
162.89	294.05
162.9	294.08
162.91	294.12
162.92	294.16
162.93	294.2
162.94	294.23
162.95	294.27
162.96	294.31
162.97	294.35
162.98	294.38
162.99	294.42
163	294.46
163.01	294.5
163.02	294.53
163.03	294.57
163.04	294.61
163.05	294.65
163.06	294.68
163.07	294.72
163.08	294.76
163.09	294.8
163.1	294.83
163.11	294.87
163.12	294.91
163.13	294.94
163.14	294.98
163.15	295.02
163.16	295.06
163.17	295.09
163.18	295.13
163.19	295.17
163.2	295.21
163.21	295.24
163.22	295.28
163.23	295.32
163.24	295.36
163.25	295.39
163.26	295.43
163.27	295.47
163.28	295.51
163.29	295.54
163.3	295.58
163.31	295.62
163.32	295.66
163.33	295.69
163.34	295.73
163.35	295.77
163.36	295.8
163.37	295.84
163.38	295.88
163.39	295.92
163.4	295.95
163.41	295.99
163.42	296.03
163.43	296.07
163.44	296.1
163.45	296.14
163.46	296.18
163.47	296.22
163.48	296.25
163.49	296.29
163.5	296.33
163.51	296.37
163.52	296.4
163.53	296.44
163.54	296.48
163.55	296.52
163.56	296.55
163.57	296.59
163.58	296.63
163.59	296.67
163.6	296.7
163.61	296.74
163.62	296.78
163.63	296.81
163.64	296.85
163.65	296.89
163.66	296.93
163.67	296.96
163.68	297
163.69	297.04
163.7	297.08
163.71	297.11
163.72	297.15
163.73	297.19
163.74	297.23
163.75	297.26
163.76	297.3
163.77	297.34
163.78	297.38
163.79	297.41
163.8	297.45
163.81	297.49
163.82	297.53
163.83	297.56
163.84	297.6
163.85	297.64
163.86	297.67
163.87	297.71
163.88	297.75
163.89	297.79
163.9	297.82
163.91	297.86
163.92	297.9
163.93	297.94
163.94	297.97
163.95	298.01
163.96	298.05
163.97	298.09
163.98	298.12
163.99	298.16
164	298.2
164.01	298.24
164.02	298.27
164.03	298.31
164.04	298.35
164.05	298.39
164.06	298.42
164.07	298.46
164.08	298.5
164.09	298.54
164.1	298.57
164.11	298.61
164.12	298.65
164.13	298.68
164.14	298.72
164.15	298.76
164.16	298.8
164.17	298.83
164.18	298.87
164.19	298.91
164.2	298.95
164.21	298.98
164.22	299.02
164.23	299.06
164.24	299.1
164.25	299.13
164.26	299.17
164.27	299.21
164.28	299.25
164.29	299.28
164.3	299.32
164.31	299.36
164.32	299.4
164.33	299.43
164.34	299.47
164.35	299.51
164.36	299.54
164.37	299.58
164.38	299.62
164.39	299.66
164.4	299.69
164.41	299.73
164.42	299.77
164.43	299.81
164.44	299.84
164.45	299.88
164.46	299.92
164.47	299.96
164.48	299.99
164.49	300.03
164.5	300.07
164.51	300.11
164.52	300.14
164.53	300.18
164.54	300.22
164.55	300.26
164.56	300.29
164.57	300.33
164.58	300.37
164.59	300.41
164.6	300.44
164.61	300.48
164.62	300.52
164.63	300.55
164.64	300.59
164.65	300.63
164.66	300.67
164.67	300.7
164.68	300.74
164.69	300.78
164.7	300.82
164.71	300.85
164.72	300.89
164.73	300.93
164.74	300.97
164.75	301
164.76	301.04
164.77	301.08
164.78	301.12
164.79	301.15
164.8	301.19
164.81	301.23
164.82	301.27
164.83	301.3
164.84	301.34
164.85	301.38
164.86	301.41
164.87	301.45
164.88	301.49
164.89	301.53
164.9	301.56
164.91	301.6
164.92	301.64
164.93	301.68
164.94	301.71
164.95	301.75
164.96	301.79
164.97	301.83
164.98	301.86
164.99	301.9
165	301.94
165.01	301.98
165.02	302.01
165.03	302.05
165.04	302.09
165.05	302.13
165.06	302.16
165.07	302.2
165.08	302.24
165.09	302.28
165.1	302.31
165.11	302.35
165.12	302.39
165.13	302.42
165.14	302.46
165.15	302.5
165.16	302.54
165.17	302.57
165.18	302.61
165.19	302.65
165.2	302.69
165.21	302.72
165.22	302.76
165.23	302.8
165.24	302.84
165.25	302.87
165.26	302.91
165.27	302.95
165.28	302.99
165.29	303.02
165.3	303.06
165.31	303.1
165.32	303.14
165.33	303.17
165.34	303.21
165.35	303.25
165.36	303.29
165.37	303.32
165.38	303.36
165.39	303.4
165.4	303.43
165.41	303.47
165.42	303.51
165.43	303.55
165.44	303.58
165.45	303.62
165.46	303.66
165.47	303.7
165.48	303.73
165.49	303.77
165.5	303.81
165.51	303.85
165.52	303.88
165.53	303.92
165.54	303.96
165.55	304
165.56	304.03
165.57	304.07
165.58	304.11
165.59	304.15
165.6	304.18
165.61	304.22
165.62	304.26
165.63	304.3
165.64	304.33
165.65	304.37
165.66	304.41
165.67	304.44
165.68	304.48
165.69	304.52
165.7	304.56
165.71	304.59
165.72	304.63
165.73	304.67
165.74	304.71
165.75	304.74
165.76	304.78
165.77	304.82
165.78	304.86
165.79	304.89
165.8	304.93
165.81	304.97
165.82	305.01
165.83	305.04
165.84	305.08
165.85	305.12
165.86	305.16
165.87	305.19
165.88	305.23
165.89	305.27
165.9	305.31
165.91	305.34
165.92	305.38
165.93	305.42
165.94	305.45
165.95	305.49
165.96	305.53
165.97	305.57
165.98	305.6
165.99	305.64
166	305.68
166.01	305.72
166.02	305.75
166.03	305.79
166.04	305.83
166.05	305.87
166.06	305.9
166.07	305.94
166.08	305.98
166.09	306.02
166.1	306.05
166.11	306.09
166.12	306.13
166.13	306.17
166.14	306.2
166.15	306.24
166.16	306.28
166.17	306.32
166.18	306.35
166.19	306.39
166.2	306.43
166.21	306.46
166.22	306.5
166.23	306.54
166.24	306.58
166.25	306.61
166.26	306.65
166.27	306.69
166.28	306.73
166.29	306.76
166.3	306.8
166.31	306.84
166.32	306.88
166.33	306.91
166.34	306.95
166.35	306.99
166.36	307.03
166.37	307.06
166.38	307.1
166.39	307.14
166.4	307.18
166.41	307.21
166.42	307.25
166.43	307.29
166.44	307.33
166.45	307.36
166.46	307.4
166.47	307.44
166.48	307.47
166.49	307.51
166.5	307.55
166.51	307.59
166.52	307.62
166.53	307.66
166.54	307.7
166.55	307.74
166.56	307.77
166.57	307.81
166.58	307.85
166.59	307.89
166.6	307.92
166.61	307.96
166.62	308
166.63	308.04
166.64	308.07
166.65	308.11
166.66	308.15
166.67	308.19
166.68	308.22
166.69	308.26
166.7	308.3
166.71	308.34
166.72	308.37
166.73	308.41
166.74	308.45
166.75	308.48
166.76	308.52
166.77	308.56
166.78	308.6
166.79	308.63
166.8	308.67
166.81	308.71
166.82	308.75
166.83	308.78
166.84	308.82
166.85	308.86
166.86	308.9
166.87	308.93
166.88	308.97
166.89	309.01
166.9	309.05
166.91	309.08
166.92	309.12
166.93	309.16
166.94	309.2
166.95	309.23
166.96	309.27
166.97	309.31
166.98	309.35
166.99	309.38
167	309.42
167.01	309.46
167.02	309.49
167.03	309.53
167.04	309.57
167.05	309.61
167.06	309.64
167.07	309.68
167.08	309.72
167.09	309.76
167.1	309.79
167.11	309.83
167.12	309.87
167.13	309.91
167.14	309.94
167.15	309.98
167.16	310.02
167.17	310.06
167.18	310.09
167.19	310.13
167.2	310.17
167.21	310.21
167.22	310.24
167.23	310.28
167.24	310.32
167.25	310.36
