Data from https://doi.org/10.1002/adma.201903577
Upon heating
Temperature(K)	Heat capacity(J/kg/K)
198.25	356.01
198.28	356.13
198.31	356.23
198.35	356.26
198.38	356.23
198.41	356.25
198.45	356.3
198.48	356.35
198.51	356.4
198.55	356.46
198.58	356.52
198.61	356.58
198.65	356.62
198.68	356.61
198.71	356.61
198.75	356.61
198.78	356.6
198.81	356.66
198.85	356.75
198.88	356.82
198.91	356.87
198.95	356.93
198.98	357.04
199.02	357.26
199.05	357.53
199.08	357.74
199.11	357.86
199.15	357.81
199.18	357.6
199.22	357.33
199.25	357.13
199.28	356.98
199.31	356.87
199.35	356.75
199.38	356.6
199.41	356.51
199.45	356.51
199.48	356.54
199.51	356.57
199.55	356.61
199.58	356.64
199.62	356.69
199.65	356.75
199.68	356.82
199.72	356.9
199.75	356.96
199.78	356.99
199.82	356.99
199.85	357
199.88	357.03
199.92	357.09
199.95	357.17
199.98	357.26
200.01	357.35
200.05	357.4
200.08	357.45
200.11	357.5
200.15	357.56
200.18	357.63
200.22	357.68
200.25	357.72
200.28	357.76
200.32	357.83
200.35	357.89
200.38	357.92
200.41	357.89
200.45	357.81
200.48	357.75
200.51	357.76
200.55	357.82
200.58	357.89
200.61	357.95
200.65	357.91
200.68	357.58
200.72	357.08
200.75	356.76
200.78	356.69
200.81	356.71
200.85	356.65
200.88	356.38
200.92	356.07
200.95	355.94
200.98	355.95
201.01	356.08
201.05	356.25
201.08	356.36
201.11	356.42
201.15	356.44
201.18	356.51
201.21	356.72
201.25	356.94
201.28	357.05
201.31	357.1
201.35	357.14
201.38	357.18
201.41	357.23
201.45	357.29
201.48	357.36
201.51	357.47
201.55	357.61
201.58	357.74
201.62	357.84
201.65	357.92
201.68	357.99
201.72	358.04
201.75	358.07
201.78	358.12
201.82	358.19
201.85	358.3
201.88	358.43
201.92	358.54
201.95	358.61
201.98	358.64
202.02	358.68
202.05	358.72
202.08	358.77
202.11	358.76
202.15	358.61
202.18	358.3
202.22	357.87
202.25	357.49
202.28	357.27
202.32	357.16
202.35	357.11
202.38	357.08
202.42	357.02
202.45	356.93
202.48	356.88
202.52	356.9
202.55	356.94
202.58	357.03
202.62	357.14
202.65	357.24
202.68	357.34
202.72	357.44
202.75	357.52
202.78	357.6
202.82	357.69
202.85	357.82
202.88	357.99
202.92	358.14
202.95	358.25
202.98	358.34
203.02	358.42
203.05	358.51
203.08	358.59
203.12	358.66
203.15	358.69
203.18	358.69
203.22	358.65
203.25	358.58
203.28	358.5
203.32	358.39
203.35	358.25
203.38	358.09
203.42	357.95
203.45	357.82
203.48	357.74
203.52	357.75
203.55	357.8
203.58	357.86
203.62	357.91
203.65	357.95
203.68	358
203.72	358.06
203.75	358.12
203.78	358.18
203.82	358.24
203.85	358.3
203.89	358.37
203.92	358.43
203.95	358.48
203.99	358.51
